"order_id","customer_id","order_status","order_approved_at","order_delivered_customer_date","product_category_name","customer_city","seller_city","route"
"00ff0cf5583758e6964723e42f111bf4",e3626ed5d1f2e3a02d692ec948b25eeb,canceled,"2017-04-10 01:03:29","",beleza_saude,florianopolis,ribeirao preto,florianopolis-ribeirao preto
"0584a31bb6abbd3dcc27e2d464ac863d","547b138492fe9767762865f216a83e5e",canceled,"2018-02-20 07:11:01","",construcao_ferramentas_construcao,sao paulo,sao paulo,sao paulo-sao paulo
"0ed61f5ab3280ff43b157a6e91942538","676f55d05b1059070b493c5e9e741917",canceled,"2017-03-29 20:10:17","",automotivo,santa cruz do capibaribe,campinas,santa cruz do capibaribe-campinas
"1046c724dec8bc31545703d07c378073","8f9a7227b5626fdf0b401e8832446f84",canceled,"2018-07-14 10:44:03","",utilidades_domesticas,guarulhos,sao paulo,guarulhos-sao paulo
"127f3dbf0dfc0da17005ba12e05d988c",aae1dec3df4a219450d7de738f0b28db,canceled,"2017-04-29 02:45:43","",ferramentas_jardim,recife,joinville,recife-joinville
"12af24617f25e0c8cd411544f704f2f7","13733cc0a4aafa89ac9017036cc89fe6",canceled,"2017-01-28 10:33:06","",automotivo,caieiras,pato branco,caieiras-pato branco
"1a47da1d66c70489c8e35fe2b5433ab7","3d8e326c3cef3a9bba7ca121baac5fc3",unavailable,"2016-10-07 18:53:48","",perfumaria,porto alegre,petropolis,porto alegre-petropolis
"1def7af24cb7182497acfd953f6dd88b",b35c38c2cd6a72b58cb104154d9782e4,canceled,"2017-12-23 02:12:37","",esporte_lazer,niteroi,sao jose do rio preto,niteroi-sao jose do rio preto
"2c8740f9df6d253c15dc035eba80ebed","5a073c41c1e7729b4538e4018a6cd170",canceled,"2017-04-12 11:30:25","",moveis_decoracao,sao paulo,pedreira,sao paulo-pedreira
"2cef7c298050b8d6865e77d071529770","503840d4f2a1a7609f6489f44ffa9f7c",canceled,"2018-06-19 15:19:41","",informatica_acessorios,araraquara,ribeirao preto,araraquara-ribeirao preto
"2cfc79d9582e9135c0a9b61fa60e6b21",f530197ea86ced9488a03d055e118ebf,canceled,"2018-02-19 17:20:52","",papelaria,salvador,borda da mata,salvador-borda da mata
"2eb5ba20812f78127f6243fa27fb40e5",d5420a7dc4c5c1f95b7912368419f59f,canceled,"2017-05-31 07:02:46","",esporte_lazer,promissao,ribeirao preto,promissao-ribeirao preto
"2efab00b70c96a73f5fed910d373957a","0b82ef8137cfb5f47ebcc41131c03663",canceled,"2017-12-26 21:39:19","",relogios_presentes,potirendaba,sao paulo,potirendaba-sao paulo
"2efab00b70c96a73f5fed910d373957a","0b82ef8137cfb5f47ebcc41131c03663",canceled,"2017-12-26 21:39:19","",relogios_presentes,potirendaba,sao paulo,potirendaba-sao paulo
"2f6492ebb2badd06db511b63ae7d7f55","0ffc8e8c374a394b0715d65963d641f1",canceled,"2018-01-20 15:22:02","",informatica_acessorios,niteroi,ilicinea,niteroi-ilicinea
"32e34fe202c1776f1f6670feb9a28a73","96dfc016637a147605872f99cdca9f4f",canceled,"2017-08-05 16:25:16","",moveis_decoracao,sao bernardo do campo,campinas,sao bernardo do campo-campinas
"3addeedb2235eeb1e75dd513cd6eeb35","386031dc5202d867cdc6083a353493d1",canceled,"2018-03-23 02:31:02","",esporte_lazer,sao paulo,guara,sao paulo-guara
"47e96b5cb6f0592d336b6bf8a817d1c3","9cce7727e7d1d1a738ccc755eae38e93",canceled,"2018-01-22 13:49:10","",utilidades_domesticas,rio de janeiro,louveira,rio de janeiro-louveira
"4ed4fa202c468c14366fbf603c8698fd","8e9100df87f0102df82026f2400af7ed",canceled,"2018-07-29 00:40:05","",cama_mesa_banho,jacobina,sao paulo,jacobina-sao paulo
"4f1743c0fc4465b3df1209280e727fa6","23349d7815ebab38482edcc7067d7f33",canceled,"2017-08-12 02:45:20","",livros_interesse_geral,goiania,curitiba,goiania-curitiba
"54bb06e1ca86bd99ee2a8d6288bf4ede","98bfbf477ed9f40a0264f5e527a446be",unavailable,"2016-10-06 14:22:19","",cool_stuff,aracariguama,eusebio,aracariguama-eusebio
"587a39d6ab7297ee16b3d5ebdaa0f776","69ed85715d3bff3b648ef923daed0056",canceled,"2017-01-11 18:45:23","",brinquedos,curitiba,sao paulo,curitiba-sao paulo
"5abf37ab57e23f69a9c8ab98c4800273","19a045432879d6ddb4fd5611a0e2ba5b",canceled,"2018-01-28 00:36:35","",papelaria,rio de janeiro,belo horizonte,rio de janeiro-belo horizonte
"5ad5a1ef522da1732ab963ea1fb6165b",a76e74100709762a48e683a177dc86b0,canceled,"2017-06-22 20:05:23","","",sao paulo,sao paulo,sao paulo-sao paulo
"5c5bada3b8df98250966f5a7a584657d","8b6d84f739545aebe27a78474fe9ab9d",canceled,"2017-11-07 03:31:09","",instrumentos_musicais,rio de janeiro,montes claros,rio de janeiro-montes claros
"5d366aa092ca44b2efb23f0c5d1e3726","0a42cf907d8c09bedbf6e69ccf60b7f9",canceled,"2017-06-16 15:50:22","",beleza_saude,sao paulo,petropolis,sao paulo-petropolis
"5d9c5817e278892b7498d90bfa28ade8",b583a7efe4522c8ce8942bd47f33d487,canceled,"2018-04-26 08:32:52","",pet_shop,sao paulo,sao jose dos campos,sao paulo-sao jose dos campos
"5d9c5817e278892b7498d90bfa28ade8",b583a7efe4522c8ce8942bd47f33d487,canceled,"2018-04-26 08:32:52","",pet_shop,sao paulo,sao jose dos campos,sao paulo-sao jose dos campos
"5f0dfd096a455e93ffb4ee0635b32264",b03efbab821a8ef7b3e6b2a75ec7d74d,canceled,"2018-07-29 15:25:09","",utilidades_domesticas,sao paulo,salto,sao paulo-salto
"618ab5fa2138dcabd9046d13f1294fb9","816d4cd64d43fd04e499508c50e2ed9a",canceled,"2018-07-24 11:32:39","",eletronicos,sao paulo,sao paulo,sao paulo-sao paulo
"618ab5fa2138dcabd9046d13f1294fb9","816d4cd64d43fd04e499508c50e2ed9a",canceled,"2018-07-24 11:32:39","",eletronicos,sao paulo,sao paulo,sao paulo-sao paulo
"7114487751b14b1d7f547fefba1eec75",d9701914d7ce67dae929a04783aa18d2,canceled,"2017-11-22 20:26:11","",utilidades_domesticas,campinas,araguari,campinas-araguari
"716bcd6dfe99970baf4aed2083136ed8","42715bff8f22b8dc62e5055b1e9fef7e",canceled,"2018-02-03 13:50:26","",brinquedos,penha,florianopolis,penha-florianopolis
"7582b8c10039cceafcfe7b13e41a91e2","57bb0f2ff265139687180b2fb387e198",canceled,"2018-02-07 14:35:40","",utilidades_domesticas,governador valadares,ibitinga,governador valadares-ibitinga
"7806407a20e7d38caef6b35ea7757142",c52f8523a6448c43354e5ca966f61e4c,canceled,"2017-11-16 22:31:07","",moveis_decoracao,sao carlos,porto ferreira,sao carlos-porto ferreira
"7806407a20e7d38caef6b35ea7757142",c52f8523a6448c43354e5ca966f61e4c,canceled,"2017-11-16 22:31:07","",moveis_decoracao,sao carlos,porto ferreira,sao carlos-porto ferreira
"7806407a20e7d38caef6b35ea7757142",c52f8523a6448c43354e5ca966f61e4c,canceled,"2017-11-16 22:31:07","",moveis_decoracao,sao carlos,porto ferreira,sao carlos-porto ferreira
"7806407a20e7d38caef6b35ea7757142",c52f8523a6448c43354e5ca966f61e4c,canceled,"2017-11-16 22:31:07","",moveis_decoracao,sao carlos,porto ferreira,sao carlos-porto ferreira
